ID,Name,Parent ID,Level,Description,Tags,Last Updated
1,Climate Drift,,1,,,2025-04-17
1.1,Climate Solutions,1,2,,,2025-04-17
1.1.1,Power,1.1,3,,Energy,2025-04-17
1.1.1.1,Renewables,1.1.1,4,,Clean Energy,2025-04-17
1.1.1.1.1,Software,1.1.1.1,5,,Digital,2025-04-17
1.1.1.1.1.1,Asset Management,1.1.1.1.1,6,,,2025-04-17
1.1.1.1.1.2,Predictive Analytics,1.1.1.1.1,6,,,2025-04-17
1.1.1.1.1.3,Planning and Design,1.1.1.1.1,6,,,2025-04-17
1.1.1.1.2,Solar,1.1.1.1,5,,Renewable,2025-04-17
1.1.1.1.2.1,Production and Deployment,1.1.1.1.2,6,,,2025-04-17
1.1.1.1.2.1.1,Solar Supply Chain,1.1.1.1.2.1,7,,,2025-04-17
1.1.1.1.2.1.2,Lack of Solar Installers,1.1.1.1.2.1,7,,,2025-04-17
1.1.1.1.2.1.3,Residential Solar,1.1.1.1.2.1,7,,,2025-04-17
1.1.1.1.2.1.4,Commercial Solar,1.1.1.1.2.1,7,,,2025-04-17
1.1.1.1.2.1.5,Utility Scale Solar,1.1.1.1.2.1,7,,,2025-04-17
1.1.1.1.2.1.6,Solar Financing,1.1.1.1.2.1,7,,,2025-04-17
1.1.1.1.2.2,Software for Solar,1.1.1.1.2,6,,,2025-04-17
1.1.1.1.2.2.1,SCADA,1.1.1.1.2.2,7,,,2025-04-17
1.1.1.1.2.2.2,Yield Optimization,1.1.1.1.2.2,7,,,2025-04-17
1.1.1.1.2.2.3,Asset Performance Management,1.1.1.1.2.2,7,,,2025-04-17
1.1.1.1.2.3,Technological Improvements,1.1.1.1.2,6,,,2025-04-17
1.1.1.1.2.3.1,Advanced Panels,1.1.1.1.2.3,7,,,2025-04-17
1.1.1.1.2.3.1.1,Perovskite,1.1.1.1.2.3.1,8,,,2025-04-17
1.1.1.1.2.3.1.2,Other new combinations,1.1.1.1.2.3.1,8,,,2025-04-17
1.1.1.1.2.3.2,Advanced Trackers,1.1.1.1.2.3,7,,,2025-04-17
1.1.1.1.2.3.3,New Structures Concentrated Solar,1.1.1.1.2.3,7,,,2025-04-17
1.1.1.1.2.3.4,Floating Solar,1.1.1.1.2.3,7,,,2025-04-17
1.1.1.1.2.3.5,Building Integrated Photovoltaics (BIPV),1.1.1.1.2.3,7,,,2025-04-17
1.1.1.1.2.4,Maintenance,1.1.1.1.2,6,,,2025-04-17
1.1.1.1.2.4.1,Inspections,1.1.1.1.2.4,7,,,2025-04-17
1.1.1.1.2.4.2,Vegetation,1.1.1.1.2.4,7,,,2025-04-17
1.1.1.1.2.4.3,Panel Cleaning,1.1.1.1.2.4,7,,,2025-04-17
1.1.1.1.2.4.4,Recycling,1.1.1.1.2.4,7,,,2025-04-17
1.1.1.1.3,Wind,1.1.1.1,5,,Renewable,2025-04-17
1.1.1.1.3.1,Production and Deployment,1.1.1.1.3,6,,,2025-04-17
1.1.1.1.3.1.1,Wind Supply Chain,1.1.1.1.3.1,7,,,2025-04-17
1.1.1.1.3.1.2,Lack of Wind Installers,1.1.1.1.3.1,7,,,2025-04-17
1.1.1.1.3.1.3,Regulation,1.1.1.1.3.1,7,,,2025-04-17
1.1.1.1.3.2,Onshore Wind,1.1.1.1.3,6,,,2025-04-17
1.1.1.1.3.3,Offshore Wind,1.1.1.1.3,6,,,2025-04-17
1.1.1.1.3.3.1,Fixed Support,1.1.1.1.3.3,7,,,2025-04-17
1.1.1.1.3.3.2,Floating,1.1.1.1.3.3,7,,,2025-04-17
1.1.1.1.3.4,Improvements,1.1.1.1.3,6,,,2025-04-17
1.1.1.1.3.4.1,Turbine Attachements,1.1.1.1.3.4,7,,,2025-04-17
1.1.1.1.3.4.2,Taller Wind Towers,1.1.1.1.3.4,7,,,2025-04-17
1.1.1.1.3.4.3,New Turbine Design,1.1.1.1.3.4,7,,,2025-04-17
1.1.1.1.3.4.3.1,Vertical-axis wind turbine (VAWT),1.1.1.1.3.4.3,8,,,2025-04-17
1.1.1.1.3.4.4,Blade Recycling,1.1.1.1.3.4,7,,,2025-04-17
1.1.1.1.3.5,Sensors,1.1.1.1.3,6,,,2025-04-17
1.1.1.1.3.5.1,Hub,1.1.1.1.3.5,7,,,2025-04-17
1.1.1.1.3.5.2,Blade,1.1.1.1.3.5,7,,,2025-04-17
1.1.1.1.3.5.3,Windspeed,1.1.1.1.3.5,7,,,2025-04-17
1.1.1.1.3.6,Software,1.1.1.1.3,6,,,2025-04-17
1.1.1.1.3.6.1,Yield Optimization,1.1.1.1.3.6,7,,,2025-04-17
1.1.1.1.3.7,Maintenance,1.1.1.1.3,6,,,2025-04-17
1.1.1.1.3.7.1,Inspections,1.1.1.1.3.7,7,,,2025-04-17
1.1.1.1.3.7.2,Blade Maintenance,1.1.1.1.3.7,7,,,2025-04-17
1.1.1.1.4,Hydropower,1.1.1.1,5,,Renewable,2025-04-17
1.1.1.1.4.1,Modernising old plants,1.1.1.1.4,6,,,2025-04-17
1.1.1.1.4.2,Generation,1.1.1.1.4,6,,,2025-04-17
1.1.1.1.4.2.1,Conventional,1.1.1.1.4.2,7,,,2025-04-17
1.1.1.1.4.2.2,Pumped Storage,1.1.1.1.4.2,7,,,2025-04-17
1.1.1.1.4.2.3,Run-of-river,1.1.1.1.4.2,7,,,2025-04-17
1.1.1.1.4.2.4,Tide,1.1.1.1.4.2,7,,,2025-04-17
1.1.1.1.4.2.5,In-pipe,1.1.1.1.4.2,7,,,2025-04-17
1.1.1.1.4.3,Drought Management & Planning,1.1.1.1.4,6,,,2025-04-17
1.1.1.1.4.4,Environmental Impact,1.1.1.1.4,6,,,2025-04-17
1.1.1.1.4.4.1,Assessment,1.1.1.1.4.4,7,,,2025-04-17
1.1.1.1.4.4.2,Mitigation,1.1.1.1.4.4,7,,,2025-04-17
1.1.1.1.5,Biomass & Waste-To-Energy (WTE),1.1.1.1,5,,Renewable,2025-04-17
1.1.1.1.5.1,Carbon Capture & Storage,1.1.1.1.5,6,,,2025-04-17
1.1.1.1.5.2,Waste Management,1.1.1.1.5,6,,,2025-04-17
1.1.1.2,Nuclear,1.1.1,4,,Energy,2025-04-17
1.1.1.2.1,Fission,1.1.1.2,5,,,2025-04-17
1.1.1.2.2,Fusion,1.1.1.2,5,,,2025-04-17
1.1.1.3,Fossil Fuels,1.1.1,4,,Energy,2025-04-17
1.1.1.3.1,Coal,1.1.1.3,5,,,2025-04-17
1.1.1.3.1.1,Carbon Capture & Storage,1.1.1.3.1,6,,,2025-04-17
1.1.1.3.1.2,Repurposing of Mines,1.1.1.3.1,6,,,2025-04-17
1.1.1.3.2,Gas,1.1.1.3,5,,,2025-04-17
1.1.1.3.2.1,Improvements,1.1.1.3.2,6,,,2025-04-17
1.1.1.3.2.2,Carbon Capture & Storage,1.1.1.3.2,6,,,2025-04-17
1.1.1.3.2.3,Flaring emissions,1.1.1.3.2,6,,,2025-04-17
1.1.1.4,Energy Storage,1.1.1,4,,Energy,2025-04-17
1.1.1.4.1,Daily peak shaving & ancillary services (4-6h of storage),1.1.1.4,5,,,2025-04-17
1.1.1.4.1.1,Lithium-ion Batteries,1.1.1.4.1,6,,,2025-04-17
1.1.1.4.2,Daily net load balancing (8-16h of storage),1.1.1.4,5,,,2025-04-17
1.1.1.4.2.1,Flow Batteries,1.1.1.4.2,6,,,2025-04-17
1.1.1.4.2.2,Gravity-based Batteries,1.1.1.4.2,6,,,2025-04-17
1.1.1.4.2.3,Zinc-based Batteries,1.1.1.4.2,6,,,2025-04-17
1.1.1.4.2.4,High-temperature Heat,1.1.1.4.2,6,,,2025-04-17
1.1.1.4.2.5,Compressed Fluids,1.1.1.4.2,6,,,2025-04-17
1.1.1.4.2.6,Compressed Air,1.1.1.4.2,6,,,2025-04-17
1.1.1.4.3,Firm multi-day & seasonal capacity (100+h of storage),1.1.1.4,5,,,2025-04-17
1.1.1.4.3.1,Iron Air Batteries,1.1.1.4.3,6,,,2025-04-17
1.1.1.4.3.2,Hydrogen,1.1.1.4.3,6,,,2025-04-17
1.1.1.4.4,Software,1.1.1.4,5,,,2025-04-17
1.1.1.4.4.1,Analytics,1.1.1.4.4,6,,,2025-04-17
1.1.1.4.4.2,Optimization,1.1.1.4.4,6,,,2025-04-17
1.1.1.4.4.3,Systems,1.1.1.4.4,6,,,2025-04-17
1.1.1.5,Transmission and distribution,1.1.1,4,,Energy,2025-04-17
1.1.1.5.1,Building new transmission,1.1.1.5,5,,,2025-04-17
1.1.1.5.2,Technologies,1.1.1.5,5,,,2025-04-17
1.1.1.5.2.1,Transformers,1.1.1.5.2,6,,,2025-04-17
1.1.1.5.2.2,Superconducting cables,1.1.1.5.2,6,,,2025-04-17
1.1.1.5.2.3,Power flow controllers,1.1.1.5.2,6,,,2025-04-17
1.1.1.5.2.3.1,Advanced Power Flow Control,1.1.1.5.2.3,7,,,2025-04-17
1.1.1.5.2.3.2,Dynamic Line Ratings,1.1.1.5.2.3,7,,,2025-04-17
1.1.1.5.2.3.3,Topology Optimization,1.1.1.5.2.3,7,,,2025-04-17
1.1.1.5.2.4,Maintenance,1.1.1.5.2,6,,,2025-04-17
1.1.1.5.2.4.1,Inspection,1.1.1.5.2.4,7,,,2025-04-17
1.1.1.6,The Grid & Demand,1.1.1,4,,Energy,2025-04-17
1.1.1.6.1,Smart Grids,1.1.1.6,5,,,2025-04-17
1.1.1.6.2,Smart meter,1.1.1.6,5,,,2025-04-17
1.1.1.6.3,Demand response & control,1.1.1.6,5,,,2025-04-17
1.1.1.6.4,Microgrid,1.1.1.6,5,,,2025-04-17
1.1.1.6.5,Rising Complexity of the Grid & Renewables,1.1.1.6,5,,,2025-04-17
1.1.1.6.6,Virtual Power Plants & Distributed Energy Resource (DER),1.1.1.6,5,,,2025-04-17
1.1.1.6.7,Auto feeder switches,1.1.1.6,5,,,2025-04-17
1.1.1.6.8,Phasor measurement unit (PMUs),1.1.1.6,5,,,2025-04-17
1.1.1.6.9,Maintenance,1.1.1.6,5,,,2025-04-17
1.1.1.6.9.1,Fault and outage detection,1.1.1.6.9,6,,,2025-04-17
1.1.1.6.9.2,Technical services,1.1.1.6.9,6,,,2025-04-17
1.1.1.6.10,Software,1.1.1.6,5,,,2025-04-17
1.1.1.6.10.1,Workforce Management,1.1.1.6.10,6,,,2025-04-17
1.1.1.6.10.2,Asset Management,1.1.1.6.10,6,,,2025-04-17
1.1.1.6.10.3,Analytics,1.1.1.6.10,6,,,2025-04-17
1.1.1.6.10.4,Cybersecurity,1.1.1.6.10,6,,,2025-04-17
1.1.1.7,Batteries,1.1.1,4,,Energy,2025-04-17
1.1.1.7.1,Manufacturing,1.1.1.7,5,,,2025-04-17
1.1.1.7.1.1,Supply Chain,1.1.1.7.1,6,,,2025-04-17
1.1.1.7.1.2,Gigafactories,1.1.1.7.1,6,,,2025-04-17
1.1.1.7.2,Portable Use,1.1.1.7,5,,,2025-04-17
1.1.1.7.3,Industrial Use,1.1.1.7,5,,,2025-04-17
1.1.2,Protect Nature,1.1,3,,Conservation,2025-04-17
1.1.2.1,Goals,1.1.2,4,,,2025-04-17
1.1.2.1.1,30 by 30,1.1.2.1,5,,,2025-04-17
1.1.2.1.2,50 by 50,1.1.2.1,5,,,2025-04-17
1.1.2.2,Nature Zones,1.1.2,4,,,2025-04-17
1.1.2.2.1,Forests,1.1.2.2,5,,,2025-04-17
1.1.2.2.2,Oceans,1.1.2.2,5,,,2025-04-17
1.1.2.2.3,Lands,1.1.2.2,5,,,2025-04-17
1.1.2.3,Offsets,1.1.2,4,,,2025-04-17
1.1.3,Transportation,1.1,3,,Mobility,2025-04-17
1.1.3.1,2 Wheelers & Micro Mobility,1.1.3,4,,,2025-04-17
1.1.3.1.1,eScooters,1.1.3.1,5,,,2025-04-17
1.1.3.1.2,eBikes,1.1.3.1,5,,,2025-04-17
1.1.3.1.3,eCargo Bikes,1.1.3.1,5,,,2025-04-17
1.1.3.2,3 Wheelers,1.1.3,4,,,2025-04-17
1.1.3.3,Cars,1.1.3,4,,,2025-04-17
1.1.3.3.1,EVs,1.1.3.3,5,,,2025-04-17
1.1.3.3.1.1,Production,1.1.3.3.1,6,,,2025-04-17
1.1.3.3.1.2,Charging,1.1.3.3.1,6,,,2025-04-17
1.1.3.3.1.2.1,Public Charging Network,1.1.3.3.1.2,7,,,2025-04-17
1.1.3.3.1.2.2,Home charging,1.1.3.3.1.2,7,,,2025-04-17
1.1.3.3.1.3,Autonomy,1.1.3.3.1,6,,,2025-04-17
1.1.3.3.1.4,Battery Improvements,1.1.3.3.1,6,,,2025-04-17
1.1.3.3.2,Hydrogen,1.1.3.3,5,,,2025-04-17
1.1.3.3.3,Natural Gas,1.1.3.3,5,,,2025-04-17
1.1.3.4,Fleet electrification,1.1.3,4,,,2025-04-17
1.1.3.4.1,Fleet electrification-as-a-service,1.1.3.4,5,,,2025-04-17
1.1.3.4.2,Charging for corporate fleets,1.1.3.4,5,,,2025-04-17
1.1.3.4.3,Driver-focused services,1.1.3.4,5,,,2025-04-17
1.1.3.4.4,Logistics & optimisation,1.1.3.4,5,,,2025-04-17
1.1.3.4.5,Fleet management & telematics,1.1.3.4,5,,,2025-04-17
1.1.3.4.6,Last-mile delivery electrification,1.1.3.4,5,,,2025-04-17
1.1.3.4.7,Mobility-as-a-service for corporates,1.1.3.4,5,,,2025-04-17
1.1.3.5,Buses,1.1.3,4,,,2025-04-17
1.1.3.5.1,Electric Buses,1.1.3.5,5,,,2025-04-17
1.1.3.5.1.1,Production,1.1.3.5.1,6,,,2025-04-17
1.1.3.5.1.2,Charging,1.1.3.5.1,6,,,2025-04-17
1.1.3.5.1.3,Autonomy,1.1.3.5.1,6,,,2025-04-17
1.1.3.5.1.4,Battery Improvements,1.1.3.5.1,6,,,2025-04-17
1.1.3.5.1.5,Electrify school buses,1.1.3.5.1,6,,,2025-04-17
1.1.3.5.2,Hydrogen,1.1.3.5,5,,,2025-04-17
1.1.3.5.3,Natural Gas,1.1.3.5,5,,,2025-04-17
1.1.3.6,Trucks,1.1.3,4,,,2025-04-17
1.1.3.6.1,Electric Trucks,1.1.3.6,5,,,2025-04-17
1.1.3.6.1.1,Delivery Trucks,1.1.3.6.1,6,,,2025-04-17
1.1.3.6.1.1.1,Light & Medium,1.1.3.6.1.1,7,,,2025-04-17
1.1.3.6.1.1.2,Heavy,1.1.3.6.1.1,7,,,2025-04-17
1.1.3.6.1.2,eRV,1.1.3.6.1,6,,,2025-04-17
1.1.3.6.2,Hydrogen Trucks,1.1.3.6,5,,,2025-04-17
1.1.3.6.3,Hybrid Trucks,1.1.3.6,5,,,2025-04-17
1.1.3.6.4,Carbon Capture,1.1.3.6,5,,,2025-04-17
1.1.3.6.5,Power train & Drive train retrofit,1.1.3.6,5,,,2025-04-17
1.1.3.6.5.1,Electric,1.1.3.6.5,6,,,2025-04-17
1.1.3.6.5.2,Hydrogen,1.1.3.6.5,6,,,2025-04-17
1.1.3.6.6,Truck stops,1.1.3.6,5,,,2025-04-17
1.1.3.7,Rail,1.1.3,4,,,2025-04-17
1.1.3.7.1,Electric Rail,1.1.3.7,5,,,2025-04-17
1.1.3.7.2,Hydrogen Rail,1.1.3.7,5,,,2025-04-17
1.1.3.7.3,Autonomy,1.1.3.7,5,,,2025-04-17
1.1.3.8,Maritime,1.1.3,4,,,2025-04-17
1.1.3.8.1,Electric Ships,1.1.3.8,5,,,2025-04-17
1.1.3.8.2,Improvements & Energy Efficiency,1.1.3.8,5,,,2025-04-17
1.1.3.8.2.1,Sails,1.1.3.8.2,6,,,2025-04-17
1.1.3.8.2.2,Operational Measures,1.1.3.8.2,6,,,2025-04-17
1.1.3.8.3,Autonomy,1.1.3.8,5,,,2025-04-17
1.1.3.8.4,Carbon Capture & Storage,1.1.3.8,5,,,2025-04-17
1.1.3.8.5,Alternative Fuels,1.1.3.8,5,,,2025-04-17
1.1.3.8.5.1,LNG,1.1.3.8.5,6,,,2025-04-17
1.1.3.8.5.2,Hydrogen,1.1.3.8.5,6,,,2025-04-17
1.1.3.8.5.3,Ammonia,1.1.3.8.5,6,,,2025-04-17
1.1.3.8.6,Ports,1.1.3.8,5,,,2025-04-17
1.1.3.8.6.1,Portside fueling,1.1.3.8.6,6,,,2025-04-17
1.1.3.8.6.2,Loading & Port Operations,1.1.3.8.6,6,,,2025-04-17
1.1.3.8.6.3,Carbon Management Software,1.1.3.8.6,6,,,2025-04-17
1.1.3.8.6.4,Autonomous Unmanned Vehicles,1.1.3.8.6,6,,,2025-04-17
1.1.3.8.7,Recreational boats,1.1.3.8,5,,,2025-04-17
1.1.3.9,Planes,1.1.3,4,,,2025-04-17
1.1.3.9.1,eFuels,1.1.3.9,5,,,2025-04-17
1.1.3.9.2,Hydrogen,1.1.3.9,5,,,2025-04-17
1.1.3.9.3,Electric Planes,1.1.3.9,5,,,2025-04-17
1.1.3.9.4,Airports,1.1.3.9,5,,,2025-04-17
1.1.3.9.4.1,Fueling,1.1.3.9.4,6,,,2025-04-17
1.1.3.9.4.2,Gate electrification,1.1.3.9.4,6,,,2025-04-17
1.1.3.9.4.3,Rental Cars,1.1.3.9.4,6,,,2025-04-17
1.1.3.9.5,Efficiency improvements,1.1.3.9,5,,,2025-04-17
1.1.4,Water,1.1,3,,Resource,2025-04-17
1.1.4.1,Conservation,1.1.4,4,,,2025-04-17
1.1.4.2,Monitoring & Efficiency,1.1.4,4,,,2025-04-17
1.1.4.3,Wastewater,1.1.4,4,,,2025-04-17
1.1.4.4,Irrigation,1.1.4,4,,,2025-04-17
1.1.4.5,Purification,1.1.4,4,,,2025-04-17
1.1.4.6,Extraction,1.1.4,4,,,2025-04-17
1.1.4.6.1,Desalination,1.1.4.6,5,,,2025-04-17
1.1.4.6.2,Rainwater,1.1.4.6,5,,,2025-04-17
1.1.4.6.3,Atmospheric Extraction,1.1.4.6,5,,,2025-04-17
1.1.5,Food and Agriculture,1.1,3,,Food Systems,2025-04-17
1.1.5.1,Farms,1.1.5,4,,,2025-04-17
1.1.5.1.1,Farm Soils,1.1.5.1,5,,,2025-04-17
1.1.5.1.1.1,Soil carbon measurement,1.1.5.1.1,6,,,2025-04-17
1.1.5.1.1.2,Farm monitoring,1.1.5.1.1,6,,,2025-04-17
1.1.5.1.1.3,Soil improvements,1.1.5.1.1,6,,,2025-04-17
1.1.5.1.1.4,Fertilizers,1.1.5.1.1,6,,,2025-04-17
1.1.5.1.2,Sustainable agriculture,1.1.5.1,5,,,2025-04-17
1.1.5.1.3,Regenerative farming,1.1.5.1,5,,,2025-04-17
1.1.5.1.4,Vertical farming,1.1.5.1,5,,,2025-04-17
1.1.5.1.5,Indoor farming,1.1.5.1,5,,,2025-04-17
1.1.5.1.6,Hydroponics,1.1.5.1,5,,,2025-04-17
1.1.5.1.7,Animal & Livestock Farms,1.1.5.1,5,,,2025-04-17
1.1.5.2,Farm Carbon Capture,1.1.5,4,,,2025-04-17
1.1.5.2.1,Cattle feed additives,1.1.5.2,5,,,2025-04-17
1.1.5.2.2,Manure digestion,1.1.5.2,5,,,2025-04-17
1.1.5.2.3,Biogas capture,1.1.5.2,5,,,2025-04-17
1.1.5.3,Alternative protein & dairy,1.1.5,4,,,2025-04-17
1.1.5.3.1,Plant based,1.1.5.3,5,,,2025-04-17
1.1.5.3.1.1,Meat,1.1.5.3.1,6,,,2025-04-17
1.1.5.3.1.2,Dairy,1.1.5.3.1,6,,,2025-04-17
1.1.5.3.1.3,Eggs,1.1.5.3.1,6,,,2025-04-17
1.1.5.3.2,Cultivated Meats,1.1.5.3,5,,,2025-04-17
1.1.5.3.2.1,Whole cuts,1.1.5.3.2,6,,,2025-04-17
1.1.5.3.2.2,Cell mass,1.1.5.3.2,6,,,2025-04-17
1.1.5.3.3,Supporting Tech,1.1.5.3,5,,,2025-04-17
